task_id,run_id,algorithm,mode,dataset,sample_attributes,num_sample_attributes,groups,num_groups,min_support,top_groups,distribution_type,target_distribution,sample_size,num_entities,num_group_entities,num_comparisons,num_iterations,setup_time,cleaning_time,tot_time,avg_cluster_size,num_cleaned_entities,progressive_recall
0,0,radler,complete,alaska_cameras,['brand'],1,"[('sony',), ('canon',), ('nikon',), ('fujifilm',), ('samsung',), ('olympus',), ('panasonic',), ('kodak',), ('dahua',), ('casio',)]",10,0.01,10,equal_representation,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",108,108,"[11, 11, 11, 11, 11, 11, 11, 10, 11, 10]",15121,135,0.40691304206848145,0.18742632865905762,0.6467766761779785,8.027777777777779,135,"[(0, 0), (757, 17), (1513, 17), (2269, 17), (3025, 17), (3781, 17), (4537, 17), (5293, 17), (6049, 19), (6805, 19), (7561, 21), (8317, 34), (9073, 47), (9829, 56), (10585, 56), (11341, 60), (12097, 64), (12853, 66), (13609, 73), (14365, 88), (15121, 108)]"
1,0,radler,complete,nc_voters,"['sex', 'race']",2,"[('female', 'white'), ('male', 'white'), ('female', 'black or african american'), ('male', 'black or african american'), ('female', 'undesignated'), ('male', 'undesignated'), ('female', 'other')]",7,0.01,10,equal_representation,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",55,55,"[8, 8, 8, 7, 8, 8, 8]",0,55,0.07004904747009277,0.003200531005859375,0.09183692932128906,1.0,55,"[(0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55), (0, 55)]"
2,0,radler,complete,nyc_funding,['source'],1,"[('local',), ('youth',), ('aging',), ('hiv/aids faith based initiative',), ('transportation - operating costs',), ('boro',), ('casa',)]",7,0.01,10,equal_representation,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",31,31,"[4, 4, 4, 5, 4, 5, 5]",0,31,0.059545040130615234,0.0017349720001220703,0.06799507141113281,1.0,31,"[(0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31), (0, 31)]"
