name,sex,age,height,weight,country,sport
Elis Guri,M,33.0,189.0,100.0,Bulgaria,Wrestling
Anna Greta Olasz,F,22.0,163.0,55.0,Hungary,Swimming
Sascha Klein,M,30.0,173.0,71.0,Germany,Diving
Chai Biao,M,25.0,186.0,80.0,China,Badminton
Ren Pranz,M,30.0,184.0,76.0,Austria,Fencing
Monika Ewa Michalik (Rogien-),F,36.0,167.0,63.0,Poland,Wrestling
Lei Sheng,M,32.0,193.0,77.0,China,Fencing
Sara Vilic,F,24.0,170.0,55.0,Austria,Triathlon
"Jacob ""Jake"" Dalton",M,24.0,168.0,67.0,USA,Gymnastics
Tina Alexandria Charles,F,27.0,193.0,88.0,USA,Basketball
Lucy Stephan,F,24.0,174.0,66.0,Australia,Rowing
Matilda Ekholm,F,34.0,172.0,67.0,Sweden,Table Tennis
Matylda Szlzak-Kowal,F,27.0,170.0,51.0,Poland,Athletics
"Kah Mun ""Vivian"" Hoo",F,26.0,166.0,56.0,Malaysia,Badminton
"Elissa Rebecca Louis ""Ellie"" Downie",F,17.0,162.0,60.0,UK,Gymnastics
Andrew Michael Bogut,M,31.0,213.0,122.0,Australia,Basketball
Yavuz lnam,M,29.0,185.0,140.0,Turkey,Shooting
Mayssa Raquel de Oliveira Pessoa,F,31.0,180.0,66.0,Brazil,Handball
Marco Belotti,M,27.0,185.0,76.0,Italy,Swimming
Lilian de Geus,F,24.0,164.0,57.0,Netherlands,Sailing
Evelin Rivera Blanquet,F,18.0,157.0,54.0,Colombia,Athletics
Saidi Juma Makula,M,22.0,,54.0,Tanzania,Athletics
Fatim Alkrmova,F,14.0,175.0,60.0,Azerbaijan,Swimming
Lizanne Murphy,F,32.0,185.0,75.0,Canada,Basketball
Oyeyemi Olugbenga Olatokunbo James Dasaolu,M,28.0,187.0,88.0,UK,Athletics
Claire Allan,F,31.0,170.0,65.0,UK,Rugby Sevens
"Benjamin ""Ben"" Vogg",M,23.0,180.0,73.0,Switzerland,Equestrianism
Nikoloz Basilashvili,M,24.0,185.0,80.0,Georgia,Tennis
"Geraldina Rachel ""Dina"" Asher-Smith",F,20.0,164.0,55.0,UK,Athletics
Thibault Rossard,M,22.0,193.0,85.0,France,Volleyball
Lucas Saatkamp,M,30.0,209.0,101.0,Brazil,Volleyball
"Andrew ""Andy"" Butchart",M,24.0,175.0,64.0,UK,Athletics
Nagisa Hayashi,F,29.0,165.0,58.0,Japan,Hockey
Robin Prendes,M,27.0,186.0,72.0,USA,Rowing
Desiree Latifah N. Henry,F,20.0,171.0,64.0,UK,Athletics
Pierre-Gilles Lakafia,M,29.0,183.0,95.0,France,Rugby Sevens
Evita Elisabeth Leter,F,21.0,,,Suriname,Swimming
"Phillip Peter ""Phil"" Dalhausser",M,36.0,206.0,93.0,USA,Beach Volleyball
Rafa Buszek,M,29.0,195.0,92.0,Poland,Volleyball
Xavier Vela Maggi,M,26.0,178.0,71.0,Brazil,Rowing
James Lee Ellington,M,30.0,179.0,81.0,UK,Athletics
Garbie Muguruza Blanco,F,22.0,182.0,73.0,Spain,Tennis
Marcel Van Minh Phuc Long Nguyen,M,28.0,165.0,55.0,Germany,Gymnastics
Amanda Jo Weir (-Davis),F,30.0,188.0,77.0,USA,Swimming
Robert Urbanek,M,29.0,200.0,122.0,Poland,Athletics
 Th Anh,F,20.0,165.0,58.0,Vietnam,Fencing
Maximilian Meyer,M,20.0,173.0,60.0,Germany,Football
Panagiotis Gionis,M,36.0,187.0,85.0,Greece,Table Tennis
Mohammad Jaafar Moradi,M,26.0,169.0,62.0,Iran,Athletics
Sren Dahl,M,23.0,193.0,86.0,Denmark,Swimming
Darcina-Rose Manuel,F,23.0,162.0,57.0,New Zealand,Judo
"Rick Yutaka ""Rickie"" Fowler",M,27.0,175.0,68.0,USA,Golf
Pernilla Lindberg,F,30.0,165.0,60.0,Sweden,Golf
skhbayaryn Chagnaadorj,M,19.0,155.0,56.0,Mongolia,Weightlifting
Simon pilak,M,30.0,177.0,68.0,Slovenia,Cycling
Selim Yaar,M,26.0,179.0,86.0,Turkey,Wrestling
Jang Hyun-Soo,M,24.0,187.0,77.0,South Korea,Football
Tatyana Aleksandrovna Likhtarovich,F,28.0,180.0,67.0,Belarus,Basketball
Waheed Abdulridha Waheed Karaawi,M,33.0,178.0,74.0,Iraq,Boxing
Kaspar Taimsoo,M,29.0,194.0,95.0,Estonia,Rowing
Cy Thompson,M,28.0,185.0,83.0,"Virgin Islands, US",Sailing
Mohamed Lamine Dansoko,M,18.0,161.0,78.0,Guinea,Athletics
Juan Pablo Romero Marn,M,26.0,179.0,69.0,Mexico,Boxing
Apurvi Singh Chandela,F,23.0,157.0,54.0,India,Shooting
Olha Oleksandrivna Liakhova,F,24.0,174.0,60.0,Ukraine,Athletics
Vasily Mikhaylovich Yegorov,M,22.0,162.0,49.0,Russia,Boxing
Ricardo Maria Brito e Cunha Melo Gouveia,M,24.0,175.0,88.0,Portugal,Golf
Jos Vicente Gutirrez Lupoli,M,23.0,193.0,83.0,Venezuela,Sailing
Hasbi Muhamad,M,24.0,158.0,62.0,Indonesia,Weightlifting
Michael Albasini,M,35.0,172.0,67.0,Switzerland,Cycling
Louisa Chafee,F,24.0,165.0,57.0,USA,Sailing
Osman Kamara,M,28.0,,78.0,Sierra Leone,Swimming
Christopher Linke,M,27.0,191.0,66.0,Germany,Athletics
Tamara Csipes,F,26.0,176.0,78.0,Hungary,Canoeing
Sabina Rosengren Jacobsen,F,27.0,180.0,75.0,Sweden,Handball
Sara Michaela Meijer,F,23.0,172.0,60.0,Sweden,Athletics
Andrey Sergeyevich Kraytor,M,23.0,178.0,91.0,Russia,Canoeing
Oussama Hosni,M,23.0,192.0,88.0,Tunisia,Handball
Jamie Raymond Dwyer,M,37.0,172.0,68.0,Australia,Hockey
Jlia Takcs Nyerges,F,27.0,171.0,53.0,Spain,Athletics
"Joseph ""Joe"" Cordina",M,24.0,175.0,61.0,UK,Boxing
Carvin Nkanata,M,25.0,,72.0,Kenya,Athletics
Lars Wichert,M,29.0,186.0,73.0,Germany,Rowing
Aleksey Yuryevich Kurbatov,M,22.0,185.0,74.0,Russia,Cycling
Johanna Konta,F,25.0,183.0,70.0,UK,Tennis
"Edward ""Eddie"" Ockenden",M,29.0,180.0,73.0,Australia,Hockey
Willemijn Bos,F,28.0,181.0,69.0,Netherlands,Hockey
Munyo Solomon Mutai,M,23.0,,,Uganda,Athletics
Sofia Ifantidou,F,31.0,162.0,54.0,Greece,Athletics
Taciana Rezende de Lima Bald,F,32.0,164.0,48.0,Guinea-Bissau,Judo
Song Qingling,F,30.0,174.0,69.0,China,Hockey
Lus Alfonso Lpez Menjivar,M,22.0,162.0,54.0,El Salvador,Athletics
Thomas Pieters,M,24.0,196.0,85.0,Belgium,Golf
Meredith T. Michaels-Beerbaum,F,46.0,162.0,51.0,Germany,Equestrianism
Yehualeye Beletew,F,18.0,165.0,52.0,Ethiopia,Athletics
Lydia Casey Jele (Mashila-),F,26.0,172.0,54.0,Botswana,Athletics
Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,Panama,Gymnastics
Wang Tiexin,M,27.0,187.0,73.0,China,Rowing
Maria Andrade Teixeira,F,23.0,169.0,49.0,Cape Verde,Taekwondo
Hugo Gonzlez de Oliveira,M,17.0,192.0,82.0,Spain,Swimming
Fernando Manuel Ferreira Fonseca,M,19.0,182.0,75.0,Portugal,Football
"Elisabeth Wilhelmina ""Ellen"" Hogerwerf",F,27.0,183.0,72.0,Netherlands,Rowing
Nino Schurter,M,30.0,173.0,68.0,Switzerland,Cycling
Ailen Valente,F,20.0,167.0,58.0,Argentina,Gymnastics
Jos Fernando Saraiva Carvalho,M,27.0,176.0,77.0,Portugal,Canoeing
Zhao Yunlei,F,29.0,173.0,60.0,China,Badminton
Justin Gilberto Geduld,M,22.0,175.0,78.0,South Africa,Rugby Sevens
Jorge Daz Garca,M,30.0,173.0,75.0,Spain,Shooting
Dalal Masfir Al-Harith,F,16.0,160.0,55.0,Qatar,Athletics
Ekene Chukwu Brian Ibekwe,M,31.0,206.0,100.0,Nigeria,Basketball
Adenzia Aparecida Ferreira da Silva,F,29.0,187.0,65.0,Brazil,Volleyball
Rattikan Kulnoi,F,23.0,157.0,63.0,Thailand,Weightlifting
Yang Kun-Pi,M,17.0,186.0,107.0,Taiwan,Shooting
Maria Bernard,F,23.0,165.0,53.0,Canada,Athletics
Bintou Dim,F,32.0,167.0,58.0,Senegal,Basketball
Tindwende Thierry Sawadogo,M,21.0,199.0,93.0,Burkina Faso,Swimming
Stephen Parez,M,22.0,174.0,75.0,France,Rugby Sevens
Kayla Pratt,F,25.0,179.0,73.0,New Zealand,Rowing
Kariem Hussein,M,27.0,191.0,77.0,Switzerland,Athletics
Mamadou Chrif Dia,M,31.0,180.0,70.0,Mali,Athletics
Yekaterina Olegovna Rudenko,F,21.0,180.0,69.0,Kazakhstan,Swimming
"Matthew ""Matt"" Gohdes",M,26.0,180.0,80.0,Australia,Hockey
Josh Prenot,M,23.0,180.0,76.0,USA,Swimming
"Benjamin Richard ""Ben"" Maher",M,33.0,183.0,68.0,UK,Equestrianism
Mekonnen Gebremedhin Woldegeorgis,M,27.0,181.0,61.0,Ethiopia,Athletics
Patrik Alexander Kittel,M,40.0,186.0,79.0,Sweden,Equestrianism
Florian Floto,M,28.0,188.0,105.0,Germany,Archery
Sal Gutirrez Macedo,M,23.0,192.0,68.0,Mexico,Taekwondo
Yoon Ji-Su,F,23.0,170.0,60.0,South Korea,Fencing
Maria Leonor Ribeiro Tavares,F,30.0,165.0,55.0,Portugal,Athletics
Bak Ji-Yun,F,23.0,168.0,63.0,South Korea,Judo
Wu Shuijiao,F,25.0,161.0,53.0,China,Athletics
Amel Majri,F,23.0,164.0,54.0,France,Football
Genevieve Horton,F,21.0,179.0,72.0,Australia,Rowing
Daniel Mark Nestor,M,43.0,191.0,87.0,Canada,Tennis
Josphine Jacques-Andr-Coquin,F,25.0,170.0,51.0,France,Fencing
Emmanuel Stockbroekx,M,22.0,189.0,88.0,Belgium,Hockey
Guni Valur Gunason,M,20.0,199.0,120.0,Iceland,Athletics
Michael Darling,M,28.0,170.0,65.0,Ireland,Hockey
Viktor Axelsen,M,22.0,194.0,88.0,Denmark,Badminton
Ons Jabeur,F,21.0,167.0,66.0,Tunisia,Tennis
Victor Scvortov,M,28.0,173.0,73.0,United Arab Emirates,Judo
Alexandros Papamikhail,M,27.0,178.0,63.0,Greece,Athletics
Bianca Stuart,F,28.0,,,Bahamas,Athletics
Masato Sakai,M,21.0,181.0,77.0,Japan,Swimming
Peter Taylor,M,32.0,189.0,70.0,New Zealand,Rowing
Philipp Eberhard Kohlschreiber,M,32.0,178.0,70.0,Germany,Tennis
Laura Gil Collado,F,24.0,191.0,78.0,Spain,Basketball
Yuta Wakimoto,M,27.0,181.0,74.0,Japan,Cycling
Sally Rutherford,F,35.0,165.0,65.0,New Zealand,Hockey
Ana Vanesa Rial Lpez,F,34.0,172.0,68.0,Spain,Rugby Sevens
Churandy Thomas Martina,M,32.0,180.0,76.0,Netherlands,Athletics
Aline Focken,F,25.0,177.0,73.0,Germany,Wrestling
Lukas Klostermann,M,20.0,189.0,83.0,Germany,Football
"Andrea ""Andi"" Murez",F,24.0,184.0,77.0,Israel,Swimming
Andrey Viktorovich Zamkovoy,M,29.0,174.0,69.0,Russia,Boxing
Samuel Walker,M,21.0,186.0,74.0,UK,Table Tennis
Haneen Ibrahim,F,16.0,154.0,47.0,Sudan,Swimming
Karolina Naja,F,26.0,165.0,63.0,Poland,Canoeing
Oscar Ouma Achieng,M,27.0,186.0,105.0,Kenya,Rugby Sevens
Andrei Jms,M,34.0,184.0,90.0,Estonia,Rowing
Nataliya Yevhenivna Moskvina,F,28.0,167.0,55.0,Ukraine,Trampolining
Franziska Hentke,F,27.0,169.0,62.0,Germany,Swimming
Alyn Camara,M,27.0,196.0,84.0,Germany,Athletics
Bruno Ortiz-Caavate Ozeki,M,23.0,194.0,88.0,Spain,Swimming
Kiana Eide,F,17.0,160.0,54.0,USA,Rhythmic Gymnastics
Mauricio Martnez,M,23.0,174.0,66.0,Argentina,Football
Ioana Strungaru (Crciun-),F,27.0,180.0,77.0,Romania,Rowing
Andreas Bretschneider,M,26.0,167.0,60.0,Germany,Gymnastics
Usman Edu Muhammed,M,22.0,169.0,78.0,Nigeria,Football
Yekaterina Fyodorovna Ilyina,F,25.0,174.0,60.0,Russia,Handball
Kang Un-Ju,F,21.0,168.0,60.0,North Korea,Archery
Elvismar Nicanor Rodrguez Ruiz,F,19.0,178.0,70.0,Venezuela,Judo
Pieter-Jan Hannes,M,23.0,186.0,72.0,Belgium,Athletics
Otgonbaataryn Uuganbaatar,M,28.0,178.0,81.0,Mongolia,Judo
Sibusiso Nzima,M,29.0,164.0,57.0,South Africa,Athletics
Anastasiya Yevgenyevna Belyakova,F,23.0,173.0,60.0,Russia,Boxing
Artemi Gavezou Castro,F,22.0,169.0,55.0,Spain,Rhythmic Gymnastics
Arthur Bomfim Bergo,M,22.0,183.0,83.0,Brazil,Rugby Sevens
Grigory Arkadyevich Tarasevich,M,21.0,190.0,75.0,Russia,Swimming
